Timestep,Lambda,Reward
0.0,0.6520852446556091,0.19999999,0.19999999
0.18222618103027344,0.21883565187454224,0.5,0.7
0.23786616325378418,0.6930029988288879,0.5,1.2
0.3038811683654785,0.3020172119140625,0.5,1.7
0.36260128021240234,0.8532809019088745,0.5,2.2
0.42920446395874023,0.7707911133766174,0.5,2.7
0.48746180534362793,0.1688559651374817,0.5,3.2
0.545783281326294,0.04270365834236145,0.5,3.7
0.6042499542236328,0.4922197759151459,0.5,4.2
0.6762092113494873,0.8463362455368042,0.5,4.7
0.8267271518707275,0.9097163081169128,0.5,5.2
0.885775089263916,0.10672220587730408,0.5,5.7
0.9457862377166748,0.43598341941833496,0.5,6.2
1.0112106800079346,0.3876953721046448,0.5,6.7
1.0757114887237549,0.7922471761703491,0.5,7.2
1.1309337615966797,0.05665084719657898,0.5,7.7
1.1829524040222168,0.793527364730835,0.5,8.2
1.2457516193389893,0.13970312476158142,0.5,8.7
1.308072566986084,0.929135799407959,0.5,9.2
1.3694431781768799,0.838443398475647,0.5,9.7
1.514624834060669,0.5114549994468689,0.5,10.2
1.5685198307037354,0.39396995306015015,0.5,10.7
1.6227500438690186,0.7900395393371582,0.5,11.2
1.6756675243377686,0.900924563407898,0.5,11.7
1.721174716949463,0.9843020439147949,0.5,12.2
1.762186050415039,0.7065638303756714,0.5,12.7
1.8127460479736328,0.7383764982223511,0.5,13.2
1.8579418659210205,0.701996922492981,0.5,13.7
1.8994321823120117,0.4427289366722107,0.5,14.2
1.9505867958068848,0.6726120114326477,0.5,14.7
2.0838065147399902,0.43790340423583984,0.5,15.2
2.1350162029266357,0.15311574935913086,0.5,15.7
2.1785712242126465,0.8424997329711914,0.5,16.2
2.2245216369628906,0.7867454290390015,0.5,16.7
2.285902738571167,0.5317689180374146,0.5,17.2
2.3334097862243652,0.6351445913314819,0.5,17.7
2.3847274780273438,0.7511404752731323,0.5,18.2
2.4315404891967773,0.3369177579879761,0.5,18.7
2.478512763977051,0.28271621465682983,0.5,19.2
2.5287938117980957,0.9276294708251953,0.5,19.7
2.663745880126953,0.8364061117172241,0.5,20.2
2.7086751461029053,0.12991005182266235,0.5,20.7
2.749298572540283,0.7591410279273987,0.5,21.2
2.801816463470459,0.541324257850647,0.5,21.7
2.8496360778808594,0.49008360505104065,0.5,22.2
2.8994550704956055,0.4510374367237091,0.5,22.7
2.957900047302246,0.8694013357162476,0.5,23.2
3.008786678314209,0.039011150598526,0.2695056,23.469507
3.0534298419952393,0.8323009610176086,0.6661505,24.135658
3.090867280960083,0.6085591912269592,0.5542796,24.689938
3.228421926498413,0.3554709553718567,0.4277355,25.117674
3.2742702960968018,0.4186844527721405,0.4593422,25.577017
3.311765432357788,0.40361323952674866,0.45180663,26.028824
3.363124132156372,0.07277384400367737,0.28638694,26.31521
3.4085512161254883,0.7159756422042847,0.60798776,26.923199
3.4508373737335205,0.8177824020385742,0.6588912,27.58209
3.490741729736328,0.9586911201477051,0.72934556,28.311436
3.5387511253356934,0.28921306133270264,0.39460653,28.706041
3.5856125354766846,0.9551563262939453,0.72757816,29.43362
3.6275722980499268,0.4407735764980316,0.47038677,29.904007
3.750962734222412,0.23810142278671265,0.3690507,30.273058
3.7948899269104004,0.19725766777992249,0.34862885,30.621687
