         278390747 function calls (273547892 primitive calls) in 664.507 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14325    0.312    0.000  243.906    0.017 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:4156(qp)
    14325   12.175    0.001  243.538    0.017 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:1440(coneqp)
     4775    2.398    0.001  192.079    0.040 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\network_barriers.py:749(network_barriers_with_obstacles_safe)
    28649    0.055    0.000  112.883    0.004 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\collections.py:1014(draw)
    28649  111.567    0.004  111.606    0.004 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\collections.py:352(draw)
  1502487   99.046    0.000   99.046    0.000 {built-in method cvxopt.misc_solvers.scale}
    23875    0.417    0.000   98.570    0.004 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\rl\sac_agent.py:50(select_lambda)
   496054    0.596    0.000   74.364    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:2330(f4)
   496054    1.116    0.000   73.768    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:2288(f4_no_ir)
     4775    0.558    0.000   70.333    0.015 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\controller.py:73(run_step)
     2385    0.450    0.000   65.629    0.028 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\sac\sac.py:199(train)
     4775    1.653    0.000   64.916    0.014 C:\Users\clark\Documents\Robotarium\robotarium_python_simulator\rps\utilities\barrier_certificates.py:110(f)
    23942    1.540    0.000   59.752    0.002 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\path.py:607(get_extents)
    23875    0.916    0.000   52.020    0.002 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:174(determine_velocity_inputs_aco)
   992108   49.020    0.000   49.020    0.000 {built-in method cvxopt.blas.tbmv}
   239100    5.506    0.000   45.228    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\bezier.py:283(axis_aligned_extrema)
    23875   10.737    0.000   40.226    0.002 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:154(get_perceived_pheromones)
   510379    2.029    0.000   40.088    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\misc.py:1489(solve)
417650/45340    0.617    0.000   36.237    0.001 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:1735(_wrapped_call_impl)
   248027    3.200    0.000   36.205    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\misc.py:422(update_scaling)
417650/45340    0.929    0.000   36.152    0.001 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:1743(_call_impl)
  7864913   18.196    0.000   32.936    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\linalg\_linalg.py:2575(norm)
  1488162   32.709    0.000   32.709    0.000 {built-in method cvxopt.misc_solvers.scale2}
