         1186752738 function calls (1183714170 primitive calls) in 303.272 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5867  104.285    0.018  165.146    0.028 C:\Users\clark\Documents\Robotarium\robotarium_python_simulator\rps\robotarium.py:67(step)
     5867    1.668    0.000   63.718    0.011 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\network_barriers.py:592(network_barriers_with_obstacles)
     5867    0.083    0.000   61.087    0.010 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:4156(qp)
     5867    3.139    0.001   60.989    0.010 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:1440(coneqp)
1046040041   59.927    0.000   59.927    0.000 {built-in method time.time}
     5867    0.204    0.000   40.081    0.007 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\controller.py:74(run_step)
    29335    0.626    0.000   33.880    0.001 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:169(determine_velocity_inputs_aco)
    29335    6.784    0.000   26.695    0.001 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:149(get_perceived_pheromones)
    29335    0.246    0.000   26.198    0.001 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\rl\sac_agent.py:52(select_lambda)
   479981   24.792    0.000   24.792    0.000 {built-in method cvxopt.misc_solvers.scale}
  9036399   12.443    0.000   22.143    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\linalg\_linalg.py:2575(norm)
    29335    0.083    0.000   19.319    0.001 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\base_class.py:537(predict)
    29335    0.361    0.000   19.236    0.001 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\policies.py:331(predict)
   158038    0.160    0.000   18.448    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:2330(f4)
   158038    0.294    0.000   18.288    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:2288(f4_no_ir)
    32/22    0.000    0.000   12.392    0.563 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_ops.py:291(fallthrough)
   316076   12.154    0.000   12.154    0.000 {built-in method cvxopt.blas.tbmv}
    29335    0.037    0.000   10.487    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\sac\policies.py:352(_predict)
322685/29335    0.318    0.000   10.434    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:1735(_wrapped_call_impl)
322685/29335    0.497    0.000   10.390    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:1743(_call_impl)
    29335    0.090    0.000   10.259    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\sac\policies.py:167(forward)
   163905    0.515    0.000   10.233    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\misc.py:1489(solve)
    79019    0.816    0.000    9.108    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\misc.py:422(update_scaling)
   474114    8.158    0.000    8.158    0.000 {built-in method cvxopt.misc_solvers.scale2}
    29335    0.128    0.000    6.829    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\sac\policies.py:147(get_action_dist_params)
    29335    0.113    0.000    6.040    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\rl\lambda_env.py:43(step)
    29335    0.085    0.000    5.955    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\sac\policies.py:355(set_training_mode)
    58670    0.265    0.000    5.946    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\container.py:248(forward)
    58680    0.034    0.000    5.678    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\policies.py:203(set_training_mode)
762860/58680    0.952    0.000    5.644    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:2824(train)
  9001197    4.538    0.000    4.538    0.000 {method 'dot' of 'numpy.ndarray' objects}
    79019    0.148    0.000    4.405    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\misc.py:945(ssqr)
     5867    0.954    0.000    4.388    0.001 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\main.py:116(update_visualizations)
    88005    0.095    0.000    4.128    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\linear.py:124(forward)
    88005    3.986    0.000    3.986    0.000 {built-in method torch._C._nn.linear}
    79019    3.972    0.000    3.972    0.000 {built-in method cvxopt.misc_solvers.sprod}
    29335    0.037    0.000    3.620    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\controller.py:58(compute_reward_fn)
    29335    0.600    0.000    3.582    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\rl\reward.py:6(compute_reward)
   793725    1.283    0.000    3.489    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:1932(__setattr__)
